"id","Specimen","NFlag","Egg10","Ovip","OvipS","MyrmicaYN","Noperaiepittfall","NoperaiepittfallS","Horigano","HoriganoS","HGrass","HGrassS","Origanupatchdiameter","OriganupatchdiameterS","BV","BVR","BR","BF","NB","scabrinodis","scabrinodisS","sabuleti","sabuletiS","schencki","schenckiS","sulcinodis","sulcinodisS","rugulosa","rugulosaS"
149,8,58,1,1,0.19,1,5,-0.21,80,1.91,8,-0.83,90,0.27,1,1,1,1,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
150,9,68,1,1,0.19,1,1,-0.47,60,0.71,35,2.84,80,0.08,1,1,1,1,1,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
151,10,71,1,1,0.19,1,20,0.76,30,-1.1,15,0.12,20,-1.06,1,0,0,0,0,10,0.2,10,4.63,0,-0.31,0,-0.17,0,-0.11
152,10,72,1,1,0.19,1,1,-0.47,60,0.71,5,-1.23,20,-1.06,1,0,0,0,0,1,-0.39,0,-0.3,0,-0.31,0,-0.17,0,-0.11
153,10,73,1,2,1.19,1,1,-0.47,65,1.01,20,0.8,70,-0.11,1,0,0,0,0,1,-0.39,0,-0.3,0,-0.31,0,-0.17,0,-0.11
154,10,74,1,3,2.2,1,2,-0.41,40,-0.5,5,-1.23,50,-0.49,1,0,0,0,1,1,-0.39,0,-0.3,0,-0.31,1,5.93,0,-0.11
155,10,76,1,1,0.19,1,1,-0.47,85,2.21,5,-1.23,55,-0.39,1,0,0,0,0,0,-0.45,0,-0.3,0,-0.31,1,5.93,0,-0.11
156,10,79,1,1,0.19,1,10,0.11,40,-0.5,10,-0.56,10,-1.25,1,0,0,0,0,0,-0.45,10,4.63,0,-0.31,0,-0.17,0,-0.11
157,10,80,1,1,0.19,1,1,-0.47,25,-1.4,10,-0.56,40,-0.68,0,0,0,0,1,0,-0.45,1,0.2,0,-0.31,0,-0.17,0,-0.11
158,10,81,1,1,0.19,1,5,-0.21,30,-1.1,25,1.48,150,1.42,1,0,0,0,1,5,-0.13,0,-0.3,0,-0.31,0,-0.17,0,-0.11
159,10,87,1,1,0.19,1,5,-0.21,55,0.41,20,0.8,30,-0.87,1,0,0,0,0,0,-0.45,0,-0.3,5,4.03,0,-0.17,0,-0.11
160,10,88,1,1,0.19,1,1,-0.47,90,2.51,5,-1.23,80,0.08,1,1,1,0,0,0,-0.45,0,-0.3,1,0.56,0,-0.17,0,-0.11
161,10,89,1,1,0.19,1,1,-0.47,62.5,0.86,35,2.84,120,0.85,1,0,0,0,0,0,-0.45,0,-0.3,0,-0.31,1,5.93,0,-0.11
162,12,99,1,3,2.2,1,1,-0.47,70,1.31,5,-1.23,80,0.08,1,0,0,0,0,1,-0.39,0,-0.3,0,-0.31,0,-0.17,0,-0.11
163,12,101,1,2,1.19,1,20,0.76,55,0.41,10,-0.56,20,-1.06,1,1,1,1,0,20,0.84,0,-0.3,0,-0.31,0,-0.17,0,-0.11
164,12,107,1,1,0.19,1,1,-0.47,60,0.71,18,0.53,35,-0.78,1,1,0,1,0,0,-0.45,0,-0.3,1,0.56,0,-0.17,0,-0.11
165,12,117,1,1,0.19,1,10,0.11,70,1.31,10,-0.56,150,1.42,1,0,0,0,0,10,0.2,0,-0.3,0,-0.31,0,-0.17,0,-0.11
166,12,118,1,1,0.19,1,20,0.76,70,1.31,10,-0.56,130,1.04,1,1,1,1,0,10,0.2,10,4.63,0,-0.31,0,-0.17,0,-0.11
167,12,119,1,1,0.19,1,2,-0.41,60,0.71,10,-0.56,70,-0.11,1,0,1,1,0,2,-0.32,0,-0.3,0,-0.31,0,-0.17,0,-0.11
168,13,121,1,3,2.2,1,100,5.97,40,-0.5,8,-0.83,30,-0.87,0,1,1,0,0,100,6.01,0,-0.3,0,-0.31,0,-0.17,0,-0.11
169,13,122,1,3,2.2,1,5,-0.21,40,-0.5,9,-0.69,110,0.66,1,1,0,0,0,5,-0.13,0,-0.3,0,-0.31,0,-0.17,0,-0.11
170,13,123,1,1,0.19,1,5,-0.21,50,0.11,10,-0.56,50,-0.49,1,1,1,1,0,5,-0.13,0,-0.3,0,-0.31,0,-0.17,0,-0.11
171,14,123,1,1,0.19,1,5,-0.21,50,0.11,10,-0.56,50,-0.49,1,1,1,1,0,5,-0.13,0,-0.3,0,-0.31,0,-0.17,0,-0.11
172,13,124,1,1,0.19,1,20,0.76,65,1.01,10,-0.56,70,-0.11,1,1,1,1,0,20,0.84,0,-0.3,0,-0.31,0,-0.17,0,-0.11
173,18,132,1,2,1.19,1,8,-0.02,30,-1.1,8,-0.83,130,1.04,0,0,0,0,0,3,-0.26,5,2.17,0,-0.31,0,-0.17,0,-0.11
174,14,140,1,1,0.19,1,5,-0.21,50,0.11,7,-0.96,50,-0.49,1,1,1,1,0,5,-0.13,0,-0.3,0,-0.31,0,-0.17,0,-0.11
175,14,141,1,1,0.19,1,5,-0.21,50,0.11,8,-0.83,60,-0.3,1,1,0,1,0,5,-0.13,0,-0.3,0,-0.31,0,-0.17,0,-0.11
176,14,142,1,1,0.19,1,6,-0.15,40,-0.5,14,-0.01,30,-0.87,1,1,1,0,0,0,-0.45,0,-0.3,5,4.03,1,5.93,0,-0.11
177,15,144,1,1,0.19,1,20,0.76,60,0.71,12,-0.28,40,-0.68,1,1,1,1,1,20,0.84,0,-0.3,0,-0.31,0,-0.17,0,-0.11
178,15,145,1,2,1.19,1,20,0.76,65,1.01,6,-1.1,40,-0.68,1,1,1,1,1,20,0.84,0,-0.3,0,-0.31,0,-0.17,0,-0.11
179,16,146,1,5,4.2,1,5,-0.21,27.5,-1.25,9,-0.69,210,2.57,1,1,1,1,0,5,-0.13,0,-0.3,0,-0.31,0,-0.17,0,-0.11
180,16,148,1,1,0.19,1,5,-0.21,35,-0.8,10,-0.56,130,1.04,1,1,1,0,0,5,-0.13,0,-0.3,0,-0.31,0,-0.17,0,-0.11
181,17,151,1,4,3.2,1,5,-0.21,50,0.11,12,-0.28,100,0.47,1,1,1,0,0,5,-0.13,0,-0.3,0,-0.31,0,-0.17,0,-0.11
182,17,151,1,2,1.19,1,5,-0.21,50,0.11,12,-0.28,100,0.47,1,1,1,0,0,5,-0.13,0,-0.3,0,-0.31,0,-0.17,0,-0.11
183,17,152,1,1,0.19,1,1,-0.47,60,0.71,11,-0.42,80,0.08,1,1,1,1,1,0,-0.45,1,0.2,0,-0.31,0,-0.17,0,-0.11
184,20,152,1,2,1.19,1,1,-0.47,60,0.71,11,-0.42,80,0.08,0,0,0,0,0,0,-0.45,1,0.2,0,-0.31,0,-0.17,0,-0.11
185,20,152,1,1,0.19,1,1,-0.47,60,0.71,11,-0.42,80,0.08,0,0,0,0,0,0,-0.45,1,0.2,0,-0.31,0,-0.17,0,-0.11
186,17,153,1,1,0.19,1,12,0.24,70,1.31,10,-0.56,180,1.99,1,1,1,1,1,6,-0.06,0,-0.3,6,4.9,0,-0.17,0,-0.11
187,17,153,1,1,0.19,1,12,0.24,70,1.31,10,-0.56,180,1.99,0,0,0,0,0,6,-0.06,0,-0.3,6,4.9,0,-0.17,0,-0.11
188,18,153,1,2,1.19,1,12,0.24,70,1.31,10,-0.56,180,1.99,0,0,0,0,0,6,-0.06,0,-0.3,6,4.9,0,-0.17,0,-0.11
189,18,153,1,4,3.2,1,12,0.24,70,1.31,10,-0.56,180,1.99,0,0,0,0,0,6,-0.06,0,-0.3,6,4.9,0,-0.17,0,-0.11
190,17,154,1,1,0.19,1,6,-0.15,60,0.71,8,-0.83,50,-0.49,1,1,1,1,0,3,-0.26,3,1.18,0,-0.31,0,-0.17,0,-0.11
191,18,154,1,1,0.19,1,10,0.11,60,0.71,8,-0.83,50,-0.49,1,1,1,1,0,3,-0.26,3,1.18,0,-0.31,0,-0.17,0,-0.11
192,18,158,1,2,1.19,1,15,0.44,40,-0.5,7,-0.96,90,0.27,1,1,1,1,1,10,0.2,5,2.17,0,-0.31,0,-0.17,0,-0.11
193,18,159,1,1,0.19,1,50,2.72,70,1.31,10,-0.56,150,1.42,1,1,1,1,1,50,2.78,0,-0.3,0,-0.31,0,-0.17,0,-0.11
194,18,159,1,2,1.19,1,50,2.72,70,1.31,10,-0.56,150,1.42,0,0,0,0,0,50,2.78,0,-0.3,0,-0.31,0,-0.17,0,-0.11
195,18,160,1,1,0.19,1,50,2.72,70,1.31,14,-0.01,170,1.8,1,1,1,1,1,50,2.78,0,-0.3,0,-0.31,0,-0.17,0,-0.11
196,20,163,1,1,0.19,1,15,0.44,20,-1.7,12,-0.28,70,-0.11,1,1,1,1,1,15,0.52,0,-0.3,0,-0.31,0,-0.17,0,-0.11
197,20,164,1,1,0.19,1,15,0.44,15,-2,10,-0.56,25,-0.97,1,1,1,1,1,15,0.52,0,-0.3,0,-0.31,0,-0.17,0,-0.11
198,20,165,1,1,0.19,1,15,0.44,10,-2.3,8,-0.83,20,-1.06,1,1,1,1,1,15,0.52,0,-0.3,0,-0.31,0,-0.17,0,-0.11
199,21,168,1,1,0.19,1,23,0.96,25,-1.4,20,0.8,170,1.8,1,0,0,0,0,18,0.71,5,2.17,0,-0.31,0,-0.17,0,-0.11
200,21,170,1,2,1.19,1,100,5.97,35,-0.8,20,0.8,15,-1.16,1,1,1,1,1,100,6.01,0,-0.3,0,-0.31,0,-0.17,0,-0.11
201,21,171,1,2,1.19,1,30,1.42,35,-0.8,20,0.8,30,-0.87,1,1,1,1,1,30,1.49,0,-0.3,0,-0.31,0,-0.17,0,-0.11
202,21,173,1,1,0.19,1,5,-0.21,30,-1.1,25,1.48,25,-0.97,1,1,1,1,1,0,-0.45,5,2.17,0,-0.31,0,-0.17,0,-0.11
203,21,174,1,2,1.19,1,1,-0.47,65,1.01,20,0.8,80,0.08,1,1,0,1,0,0,-0.45,0,-0.3,1,0.56,0,-0.17,0,-0.11
204,21,175,1,2,1.19,1,1,-0.47,25,-1.4,20,0.8,20,-1.06,1,1,1,0,0,0,-0.45,0,-0.3,1,0.56,0,-0.17,0,-0.11
205,21,178,1,1,0.19,1,10,0.11,30,-1.1,15,0.12,25,-0.97,1,1,1,0,0,7,0,0,-0.3,3,2.29,0,-0.17,0,-0.11
206,21,178,1,2,1.19,1,10,0.11,30,-1.1,15,0.12,25,-0.97,0,0,0,0,0,7,0,0,-0.3,3,2.29,0,-0.17,0,-0.11
207,21,179,1,2,1.19,1,20,0.76,30,-1.1,20,0.8,15,-1.16,1,0,0,0,0,20,0.84,0,-0.3,0,-0.31,0,-0.17,0,-0.11
208,21,180,1,1,0.19,1,50,2.72,40,-0.5,15,0.12,20,-1.06,0,0,1,1,0,50,2.78,0,-0.3,0,-0.31,0,-0.17,0,-0.11
209,21,181,1,2,1.19,1,50,2.72,55,0.41,20,0.8,100,0.47,1,1,1,0,0,50,2.78,0,-0.3,0,-0.31,0,-0.17,0,-0.11
210,21,181,1,1,0.19,1,50,2.72,55,0.41,20,0.8,100,0.47,0,0,0,0,0,50,2.78,0,-0.3,0,-0.31,0,-0.17,0,-0.11
211,21,181,1,3,2.2,1,50,2.72,55,0.41,20,0.8,100,0.47,0,0,0,0,0,50,2.78,0,-0.3,0,-0.31,0,-0.17,0,-0.11
212,23,182,1,1,0.19,1,50,2.72,40,-0.5,25,1.48,210,2.57,1,1,1,1,1,50,2.78,0,-0.3,0,-0.31,0,-0.17,0,-0.11
213,23,182,1,1,0.19,1,50,2.72,40,-0.5,25,1.48,210,2.57,0,0,0,0,0,50,2.78,0,-0.3,0,-0.31,0,-0.17,0,-0.11
214,23,183,1,1,0.19,1,50,2.72,35,-0.8,15,0.12,200,2.38,1,1,1,0,0,50,2.78,0,-0.3,0,-0.31,0,-0.17,0,-0.11
