"id","Specimen","NFlag","Egg10","Ovip","OvipS","MyrmicaYN","Noperaiepittfall","NoperaiepittfallS","Horigano","HoriganoS","HGrass","HGrassS","Origanupatchdiameter","OriganupatchdiameterS","BV","BVR","BR","BF","NB","scabrinodis","scabrinodisS","sabuleti","sabuletiS","schencki","schenckiS","sulcinodis","sulcinodisS","rugulosa","rugulosaS"
34,22,185,0,0,-0.82,0,0,-0.54,60,0.71,15,0.12,120,0.85,0,0,0,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
35,22,186,0,0,-0.82,0,0,-0.54,40,-0.5,30,2.16,160,1.61,1,1,1,1,1,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
36,1,1,1,3,2.2,0,0,-0.54,30,-1.1,15,0.12,40,-0.68,1,0,0,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
37,6,37,1,1,0.19,0,0,-0.54,100,3.11,10,-0.56,80,0.08,1,1,1,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
38,6,37,1,2,1.19,0,0,-0.54,100,3.11,10,-0.56,80,0.08,1,1,1,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
39,7,50,1,1,0.19,0,0,-0.54,60,0.71,20,0.8,50,-0.49,1,0,0,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
40,8,51,1,3,2.2,0,0,-0.54,50,0.11,5,-1.23,100,0.47,1,0,0,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
41,8,59,1,1,0.19,0,0,-0.54,50,0.11,20,0.8,15,-1.16,1,0,0,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
42,8,61,1,1,0.19,0,0,-0.54,47.5,-0.04,10,-0.56,130,1.04,1,0,1,1,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
43,8,61,1,1,0.19,0,0,-0.54,47.5,-0.04,10,-0.56,130,1.04,1,0,1,1,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
44,8,62,1,3,2.2,0,0,-0.54,60,0.71,10,-0.56,50,-0.49,1,0,1,1,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
45,8,63,1,4,3.2,0,0,-0.54,50,0.11,10,-0.56,90,0.27,1,0,0,1,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
46,8,65,1,1,0.19,0,0,-0.54,70,1.31,5,-1.23,40,-0.68,1,1,1,1,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
47,8,66,1,3,2.2,0,0,-0.54,55,0.41,10,-0.56,110,0.66,1,0,0,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
48,9,69,1,1,0.19,0,0,-0.54,50,0.11,10,-0.56,35,-0.78,1,0,0,1,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
49,10,78,1,1,0.19,0,0,-0.54,60,0.71,15,0.12,10,-1.25,1,0,0,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
50,10,86,1,1,0.19,0,0,-0.54,40,-0.5,25,1.48,20,-1.06,1,1,1,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
51,12,93,1,1,0.19,0,0,-0.54,55,0.41,15,0.12,150,1.42,1,1,1,1,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
52,10,94,1,1,0.19,0,0,-0.54,70,1.31,25,1.48,180,1.99,1,0,0,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
53,12,100,1,1,0.19,0,0,-0.54,45,-0.2,5,-1.23,110,0.66,1,0,0,0,1,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
54,12,102,1,1,0.19,0,0,-0.54,40,-0.5,5,-1.23,70,-0.11,1,0,0,1,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
55,12,111,1,1,0.19,0,0,-0.54,40,-0.5,10,-0.56,30,-0.87,0,1,1,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
56,12,120,1,3,2.2,0,0,-0.54,50,0.11,15,0.12,80,0.08,1,1,1,1,1,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
57,22,184,1,1,0.19,0,0,-0.54,50,0.11,20,0.8,15,-1.16,1,1,1,1,1,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
58,1,3,0,0,-0.82,1,6,-0.15,45,-0.2,15,0.12,150,1.42,1,0,0,0,0,5,-0.13,0,-0.3,0,-0.31,1,5.93,0,-0.11
59,3,7,0,0,-0.82,1,10,0.11,25,-1.4,30,2.16,110,0.66,1,0,0,0,0,10,0.2,0,-0.3,0,-0.31,0,-0.17,0,-0.11
60,3,8,0,0,-0.82,1,2,-0.41,60,0.71,15,0.12,160,1.61,1,0,1,1,0,2,-0.32,0,-0.3,0,-0.31,0,-0.17,0,-0.11
61,3,10,0,0,-0.82,1,5,-0.21,45,-0.2,15,0.12,185,2.09,1,0,0,0,0,3,-0.26,0,-0.3,1,0.56,0,-0.17,0,-0.11
62,4,14,0,0,-0.82,1,1,-0.47,60,0.71,12,-0.28,10,-1.25,0,0,1,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
63,4,17,0,0,-0.82,1,2,-0.41,40,-0.5,25,1.48,150,1.42,1,0,0,0,0,2,-0.32,0,-0.3,0,-0.31,0,-0.17,0,-0.11
64,4,19,0,0,-0.82,1,1,-0.47,15,-2,3,-1.51,3,-1.39,0,0,0,0,1,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
65,5,21,0,0,-0.82,1,1,-0.47,35,-0.8,30,2.16,10,-1.25,0,1,0,0,0,0,-0.45,1,0.2,0,-0.31,0,-0.17,0,-0.11
